side,nerve,segment,function,muscle,rank,segID,id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,preferred_pool
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346479846132,290,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72764168838880663,648518346479846132,[21575 87200  2242],trochanter_flexion
L,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346491655185,291,t,D1_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,72975343790906622,648518346491655185,[28385 88521  2251],thorax_stance
L,Accessory,thorax,swing,pleural_remotor_and_abductor_miller_29,0,648518346498402097,283,t,A4_T1L,pleural_remotor_and_abductor_in_thorax_miller_29,72834537583100984,648518346498402097,[24350 87262  2285],thorax_swing
L,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346520551990,292,t,D1_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,72975275004512296,648518346520551990,[26759 87253  2174],thorax_stance
L,Accessory,thorax,stance,sternal_adductor_miller_miller_in_thorax_miller_33,0,648518346486809241,285,t,A4_T1L,sternal_adductor_miller_in_thorax_miller_33,72904975181026144,648518346486809241,[26181 89068  2521],thorax_stance
L,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346494806962,279,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72483655733552219,648518346494806962,[ 12726 115166   1861],thorax_swing
L,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346501837930,282,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72342986830511451,648518346501837930,[  9590 117780   1629],thorax_swing
L,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346494082299,287,t,A2_T1L,trochanter_flexor_in_coxa_AcPst,72413355373453175,648518346494082299,[ 10872 118153   1266],trochanter_flexion
L,Accessory,thorax,swing,pleural_remotor_and_abductor_miller_29,0,648518346486098834,284,t,A4_T1L,pleural_remotor_and_abductor_in_thorax_miller_29,72693868814306475,648518346486098834,[19270 88811  2289],thorax_swing
L,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346486120840,286,t,A2_T1L,trochanter_flexor_in_coxa_AcPst,72483655666524185,648518346486120840,[ 14058 115317   1758],trochanter_flexion
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346499251291,288,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72623431283432202,648518346499251291,[17583 86886  2142],trochanter_flexion
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346517668968,289,t,A3_T1L,trochanter_flexor_in_coxa_Ac,72834468863862859,648518346517668968,[22736 85820  2309],trochanter_flexion
L,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346489655756,293,t,D2_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73116080876550816,648518346489655756,[31494 89253  1423],thorax_stance
L,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346491574440,294,t,D2_T1L,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,72904974778207768,648518346491574440,[26568 89275  1711],thorax_stance
L,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346480104102,281,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72413286922170067,648518346480104102,[ 10952 116017   1681],thorax_swing
L,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346499790035,280,t,A1_T1L,sternal_posterior_rotator_in_thorax_miller_32,72413355507544480,648518346499790035,[ 11145 117357   1478],thorax_swing
L,Leg,tibia,unknown,tarsus_unidentified,A1,648518346493775985,295,t,L1_T1L,tarsus_unidentified_in_tibia_A1,72764168973359401,648518346493775985,[21620 87497  2568],tarsus_depressor_noid
L,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346497576950,296,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A1,72764237692500983,648518346497576950,[21114 89632  2517],auxiliary_tibia_flexor_B
L,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346514147038,297,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A1,72693937667951418,648518346514147038,[20102 90956  2536],auxiliary_tibia_flexor_B
L,Ventral,thorax,extend,tergotrochanter,2,648518346509527171,342,t,V2_T1L,tergotrochanter_in_thorax_2,72975343589667059,648518346509527171,[28266 88474  1899],trochanter_extension
L,Leg,femur,flex,auxiliary_tibia_flexor,E,648518346508779327,323,t,L1_T1L,auxiliary_tibia_flexor_in_femur_E,72693800228903574,648518346508779327,[19013 86939  2469],auxiliary_tibia_flexor_E
L,Leg,tibia,unknown,tarsus_unidentified,Bslow,648518346484097831,302,t,L1_T1L,tarsus_unidentified_in_tibia_Bslow,72764169040166640,648518346484097831,[20633 87133  2615],tarsus_depressor_noid
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346485383955,304,t,L1_T1L,auxiliary_tibia_flexor_in_femur_Bslow,72553200246720980,648518346485383955,[15452 91558  2651],main_tibia_flexor
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346499814867,306,t,L1_T1L,auxiliary_tibia_flexor_in_femur_Bslow,72975275339924788,648518346499814867,[26734 87731  2784],main_tibia_flexor
R,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346509699273,375,t,L1_T1R,auxiliary_tibia_flexor_in_femur_Bslow,73678962781859891,648518346509699273,[48049 86163  2805],
L,Leg,femur,flex,main_tibia_flexor,2,648518346491594152,309,t,L1_T1L,main_tibia_flexor_in_femur_2,72553200179656434,648518346491594152,[14458 90265  2554],main_tibia_flexor
L,Leg,femur,flex,main_tibia_flexor,3,648518346491928082,310,t,L1_T1L,main_tibia_flexor_in_femur_3,72764237826737613,648518346491928082,[21341 89358  2718],main_tibia_flexor
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346524111877,299,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A2,72623431484675713,648518346524111877,[17820 87590  2464],auxiliary_tibia_flexor_B
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346475456896,298,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A2,72834537717335085,648518346475456896,[22898 87329  2528],auxiliary_tibia_flexor_B
L,Leg,ltm,claw,ltm,large,648518346517360426,313,t,L1_T1L,ltm_medial_dendrite,72834675290499495,648518346517360426,[23505 91836  2730],ltm
L,Leg,tibia,unknown,tarsus_unidentified,A2,648518346503952224,301,t,L1_T1L,tarsus_unidentified_in_tibia_A2,72553200313457288,648518346503952224,[16326 90435  2698],tarsus_depressor_noid
L,Leg,ltm,claw,ltm,small,648518346494054647,316,t,L1_T1L,ltm_small_medial_dendrite,72553200314029096,648518346494054647,[15352 91783  2825],ltm
L,Leg,ltm,claw,ltm,tiny,648518346497452278,318,t,L1_T1L,ltm_no_medial_dendrite,72482831569839159,648518346497452278,[13986 90610  2805],ltm
L,Leg,ltm,claw,ltm,tiny,648518346489317209,319,t,L1_T1L,ltm_no_medial_dendrite,72482831636691164,648518346489317209,[14242 91889  2882],ltm
L,Leg,tibia,flex,tarsus_depressor,medial,648518346489595743,321,t,L1_T1L,tarsus_depressor_in_tibia_medial,72553062740634458,648518346489595743,[15259 87745  2517],tarsus_depressor_med_venU
L,Leg,tibia,unknown,tarsus_unidentified,E,648518346502925179,322,t,L1_T1L,tarsus_unidentified_in_tibia_E,72904906461502730,648518346502925179,[24999 86593  2490],tarsus_depressor_noid
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346497643766,337,t,V1_T1L,trochanter_flexor_in_coxa_Vn,72693868747178343,648518346497643766,[19263 90022  2155],trochanter_flexion
L,Leg,trochanter,reductor,femur_reductor,0,648518346489628029,324,t,L2_T1L,femur_reductor_in_trochanter,73045644084019426,648518346489628029,[29858 87376  2765],femur_reductor
L,Leg,ltm,claw,ltm,large,648518346498413588,314,t,L1_T1L,ltm_medial_dendrite,72623500338438060,648518346498413588,[17597 90020  2740],ltm
L,Leg,femur,flex,main_tibia_flexor,0,648518346509708489,308,t,L1_T1L,main_tibia_flexor_in_femur_0,72904906528646317,648518346509708489,[25694 86622  2634],main_tibia_flexor
L,Leg,trochanter,reductor,femur_reductor,0,648518346477545998,329,t,L2_T1L,femur_reductor_in_trochanter_0,72553199978233860,648518346477545998,[14358 92008  2105],femur_reductor
L,Leg,coxa,extend,trochanter_extensor,Lg,648518346503654305,336,t,L5_T1L,trochanter_extensor_in_coxa_Lg,72624186795103813,648518346503654305,[ 16552 109651   1364],trochanter_extension
L,Leg,coxa,flex,trochanter_promotor,0,648518346482880230,331,t,L3_T1L,trochanter_promotor_in_coxa,72904974979596808,648518346482880230,[25292 88266  2123],trochanter_flexion
L,Leg,coxa,flex,trochanter_promotor,0,648518346475233889,332,t,L3_T1L,trochanter_promotor_in_coxa,72904975180805852,648518346475233889,[25366 89249  2453],trochanter_flexion
R,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346501300835,373,t,L1_T1R,auxiliary_tibia_flexor_in_femur_Bslow,74171681429788095,648518346501300835,[61648 90977  2725],
L,Leg,trochanter,reductor,femur_reductor,0,648518346499405150,325,t,L2_T1L,femur_reductor_in_trochanter,72482831435430456,648518346499405150,[14230 91313  2528],femur_reductor
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346509726921,303,t,L1_T1L,auxiliary_tibia_flexor_in_femur_Bslow,72834675156230769,648518346509726921,[23055 92004  2509],main_tibia_flexor
